Incident ID,Date,Site ID,Severity,Injury,Environmental Impact,Action Taken,Reported To,Closure Status,Disturbance Area (m_),Reclamation Method,Vegetation Restored,Soil Stabilized,Inspection Date,Compliance Status
INC-001,2025-05-16,SITE-001,Critical,Yes,Yes,Emergency response activated; regulator notified,Regulator,Open,566,Mechanical Backfill,No,No,2025-05-17,Non-Compliant
INC-002,2025-03-11,SITE-002,Moderate,Yes,Yes,Supervisor notified; follow-up required,Environmental Officer,Under Review,60,Reseed,Yes,No,2025-03-14,Pending
INC-003,2025-01-21,SITE-005,Moderate,Yes,No,Supervisor notified; follow-up required,Site Supervisor,Under Review,97,Hand Backfill,No,Yes,2025-01-24,Pending
INC-004,2025-07-15,SITE-006,High,Yes,Yes,Work stopped; investigation initiated,Regulator,Under Review,350,Mechanical Backfill,No,Yes,2025-07-17,Non-Compliant
INC-005,2025-10-15,SITE-001,Low,No,No,Reminder and minor corrective action completed,Site Supervisor,Closed,32,Hand Backfill,No,Yes,2025-10-16,Compliant
INC-006,2025-07-06,SITE-002,Moderate,Yes,No,Supervisor notified; follow-up required,Site Supervisor,Under Review,48,Hand Backfill,No,Yes,2025-07-09,Pending
INC-007,2025-02-06,SITE-005,Critical,Yes,Yes,Emergency response activated; regulator notified,Regulator,Open,896,Mechanical Backfill,No,No,2025-02-07,Non-Compliant
INC-008,2025-08-02,SITE-006,Low,No,Yes,Supervisor notified; follow-up required,Environmental Officer,Under Review,57,Reseed,Yes,No,2025-08-05,Pending
INC-009,2025-01-17,SITE-001,Low,No,No,Reminder and minor corrective action completed,Site Supervisor,Closed,40,Hand Backfill,No,Yes,2025-01-18,Compliant
INC-010,2025-12-07,SITE-002,Low,No,No,Reminder and minor corrective action completed,Site Supervisor,Closed,8,Hand Backfill,No,Yes,2025-12-08,Compliant
INC-011,2025-11-23,SITE-005,High,Yes,Yes,Work stopped; investigation initiated,Regulator,Under Review,423,Mechanical Backfill,No,Yes,2025-11-25,Non-Compliant
INC-012,2025-08-27,SITE-006,Moderate,No,No,Reminder and minor corrective action completed,Internal Safety Log,Closed,86,Hand Backfill,No,Yes,2025-08-28,Compliant
INC-013,2025-04-08,SITE-001,High,Yes,Yes,Work stopped; investigation initiated,Regulator,Under Review,167,Mechanical Backfill,No,Yes,2025-04-10,Non-Compliant
